"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ZAF","South Africa","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,11.7,,
"RUS","Russia","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,21.4,,
"ZAF","South Africa","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,17.3,,
"IDN","Indonesia","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,11,,
"FIN","Finland","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2014","2014","YR","Years","0","Units",,,24.3,,
"DNK","Denmark","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2014","2014","YR","Years","0","Units",,,19.9,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2014","2014","YR","Years","0","Units",,,23.5,,
"TUR","Turkey","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2014","2014","YR","Years","0","Units",,,21.5,,
"FRA","France","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2014","2014","YR","Years","0","Units",,,23.8,,
"ITA","Italy","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2014","2014","YR","Years","0","Units",,,22.7,,
"GBR","United Kingdom","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2014","2014","YR","Years","0","Units",,,23.7,,
"CHL","Chile","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2014","2014","YR","Years","0","Units",,,16.5,,
"NOR","Norway","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2014","2014","YR","Years","0","Units",,,19.3,,
"RUS","Russia","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2014","2014","YR","Years","0","Units",,,14.3,,
